Age Group,Number of Records,InfluenzaDisease,InfluenzaDiseaseCount,Week,Year
25-64 yr,1,A (Subtyping not Performed),5,48,2017
25-64 yr,1,A (Subtyping not Performed),0,49,2017
25-64 yr,1,A (Subtyping not Performed),6,50,2017
25-64 yr,1,A (Subtyping not Performed),8,51,2017
25-64 yr,1,A (Subtyping not Performed),4,52,2017
25-64 yr,1,A (Subtyping not Performed),10,1,2018
25-64 yr,1,A (Subtyping not Performed),12,2,2018
25-64 yr,1,A (Subtyping not Performed),10,3,2018
25-64 yr,1,A (Subtyping not Performed),7,4,2018
25-64 yr,1,A (Subtyping not Performed),7,5,2018
25-64 yr,1,A (Subtyping not Performed),8,6,2018
25-64 yr,1,A (Subtyping not Performed),5,7,2018
25-64 yr,1,A (Subtyping not Performed),2,8,2018
65+ yr,1,A (Subtyping not Performed),1,40,2017
65+ yr,1,A (Subtyping not Performed),0,41,2017
65+ yr,1,A (Subtyping not Performed),0,42,2017
65+ yr,1,A (Subtyping not Performed),1,43,2017
65+ yr,1,A (Subtyping not Performed),0,44,2017
65+ yr,1,A (Subtyping not Performed),0,45,2017
65+ yr,1,A (Subtyping not Performed),0,46,2017
65+ yr,1,A (Subtyping not Performed),0,47,2017
65+ yr,1,A (Subtyping not Performed),1,48,2017
65+ yr,1,A (Subtyping not Performed),0,49,2017
65+ yr,1,A (Subtyping not Performed),2,50,2017
65+ yr,1,A (Subtyping not Performed),3,51,2017
65+ yr,1,A (Subtyping not Performed),11,52,2017
65+ yr,1,A (Subtyping not Performed),8,1,2018
65+ yr,1,A (Subtyping not Performed),12,2,2018
65+ yr,1,A (Subtyping not Performed),8,3,2018
65+ yr,1,A (Subtyping not Performed),15,4,2018
65+ yr,1,A (Subtyping not Performed),13,5,2018
65+ yr,1,A (Subtyping not Performed),10,6,2018
65+ yr,1,A (Subtyping not Performed),6,7,2018
65+ yr,1,A (Subtyping not Performed),3,8,2018
